period,value,Total_Sales_MLitres,estimated_co2
2024-02-01,16.59109090909091,4761.173703703704,269.2128430619499
2024-03-01,17.142818181818182,4580.649814814816,259.0054126271872
2024-04-01,17.96881818181818,4953.9418518518505,280.11260527276363
2024-05-01,16.548272727272728,4786.179629629631,270.62676257651805
2024-06-01,16.543454545454548,4857.86174074074,274.6799112599808
2024-07-01,17.006909090909094,4634.320703703704,262.0401459695561
2024-08-01,15.994454545454545,4822.472925925926,272.6789081372681
2024-09-01,14.668454545454544,4820.543148148149,272.56979198348677
2024-10-01,15.044545454545455,4429.132666666666,250.43812129020628
2024-11-01,14.742909090909091,4682.425962962963,264.760179813594
2024-12-01,14.685727272727274,4761.571185185187,269.2353180074893
